epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,2373.43,0.6864,0.44298,0.84494,0.87352,0.88816,0.93848,0.77271,0.66656,0.52903,0.88197,0.000725375,0.000725375,0.000725375
105,2397.31,0.67373,0.4302,0.84007,0.88167,0.87235,0.93552,0.77261,0.65248,0.53029,0.87297,0.000713,0.000713,0.000713
106,2421.03,0.67031,0.43524,0.84051,0.86611,0.88155,0.93552,0.76995,0.67105,0.52358,0.88256,0.000700625,0.000700625,0.000700625
107,2444.66,0.66545,0.4285,0.84432,0.88454,0.88228,0.9436,0.77132,0.69969,0.52206,0.88861,0.00068825,0.00068825,0.00068825
108,2468.39,0.67055,0.42909,0.84151,0.85072,0.88484,0.93913,0.7591,0.69166,0.5322,0.88858,0.000675875,0.000675875,0.000675875
109,2491.82,0.66112,0.42624,0.84371,0.88501,0.84837,0.93608,0.76685,0.68625,0.53523,0.88531,0.0006635,0.0006635,0.0006635
110,2515.54,0.66097,0.42488,0.84576,0.86731,0.8714,0.9336,0.77813,0.66042,0.50592,0.88097,0.000651125,0.000651125,0.000651125
111,2538.93,0.66641,0.42143,0.8492,0.88597,0.86756,0.93325,0.75685,0.70537,0.51196,0.88862,0.00063875,0.00063875,0.00063875
112,2562.29,0.67677,0.44034,0.84413,0.86602,0.84364,0.92661,0.75428,0.69309,0.55105,0.88593,0.000626375,0.000626375,0.000626375
113,2585.95,0.65318,0.42427,0.84482,0.83107,0.88868,0.93006,0.76566,0.67824,0.52786,0.88496,0.000614,0.000614,0.000614
114,2610.13,0.64512,0.41689,0.83758,0.84223,0.88676,0.93262,0.74864,0.73276,0.53777,0.90373,0.000601625,0.000601625,0.000601625
115,2633.89,0.67846,0.44064,0.85236,0.87176,0.87422,0.93513,0.76355,0.6825,0.52804,0.89238,0.00058925,0.00058925,0.00058925
116,2657.89,0.64668,0.42071,0.83792,0.8595,0.90412,0.94445,0.77768,0.68348,0.50713,0.89052,0.000576875,0.000576875,0.000576875
117,2681.83,0.64717,0.41435,0.83646,0.88983,0.85265,0.94304,0.77058,0.69346,0.49668,0.89852,0.0005645,0.0005645,0.0005645
118,2705.93,0.6421,0.40795,0.83902,0.86827,0.87524,0.94219,0.77815,0.66557,0.49773,0.88616,0.000552125,0.000552125,0.000552125
119,2729.89,0.65119,0.41879,0.84733,0.8274,0.90979,0.93645,0.77552,0.65364,0.51511,0.88244,0.00053975,0.00053975,0.00053975
120,2753.86,0.65421,0.41081,0.83943,0.84943,0.86564,0.92611,0.77241,0.66137,0.52858,0.88088,0.000527375,0.000527375,0.000527375
121,2777.86,0.61969,0.40009,0.83712,0.83084,0.88868,0.92905,0.77887,0.65,0.50567,0.87991,0.000515,0.000515,0.000515
122,2801.93,0.61896,0.39259,0.83804,0.8741,0.82623,0.92695,0.76611,0.68092,0.52963,0.89234,0.000502625,0.000502625,0.000502625
123,2825.46,0.63311,0.40527,0.84054,0.81523,0.90616,0.92662,0.7675,0.67158,0.51464,0.88474,0.00049025,0.00049025,0.00049025
124,2849.04,0.6332,0.40037,0.83816,0.8284,0.90211,0.92775,0.76105,0.65919,0.51565,0.87952,0.000477875,0.000477875,0.000477875
125,2871.98,0.62845,0.40236,0.83461,0.89848,0.83236,0.93546,0.78265,0.65096,0.51349,0.87974,0.0004655,0.0004655,0.0004655
126,2895.77,0.62356,0.4,0.83539,0.83137,0.90841,0.94221,0.78052,0.6543,0.489,0.88359,0.000453125,0.000453125,0.000453125
